Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
EVİDEA;İstanbul;Dijital Proje Uzmanı;Hibrit;2024
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Ürün Uzmanı;Uzaktan / Remote;2021
AKSA JENERATÖR;İstanbul;Ürün Destek Müdürü;İş Yerinde;2023
ASELSAN ELEKTRONİK SAN. VE TİC. A.Ş.;Ankara;Ürün Destek Mühendisi;İş Yerinde;2021
SOM A.Ş ( SOM CİVATA );Ankara;ERP Uygulama Sorumlusu;Uzaktan / Remote;2021
Tectone Teknoloji San. Tic. A.Ş (Awox);Mersin;Ürün Destek Mühendisi;İş Yerinde;2024
TATİLBUDUR SEYAHAT ACENTELİĞİ VE TURİZM ANONİM ŞİRKETİ;İstanbul;Test Uzmanı;İş Yerinde;2022
TD ELEKTRONİK;İstanbul;Test ve Paketleme Elemanı;Hibrit;2023
Logo Yazılım San Ve Tic A.Ş.;İzmir;Test Uzmanı;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;Ankara;Test Uzmanı;Hibrit;2024
NURHAS MOBİLYA SAN. VE TİC. A.Ş. NDESİGN;Bursa;ERP Uzmanı;İş Yerinde;2022
Altan Hidrolik Müh. San. Tic. A.Ş.;İstanbul;ERP Uzmanı;İş Yerinde;2023
Deka Elektronik San. ve Tic. A.Ş;İstanbul;Canias ERP Uzmanı;İş Yerinde;2024
Santur Turizm A.Ş;Antalya;ERP Uzmanı;Hibrit;2024
CANTEK SOĞUTMA A.Ş.;Antalya;ERP Uzmanı;İş Yerinde;2024
Chakra Mağazacılık A.Ş.;İstanbul;ERP Uzmanı;Hibrit;2022
Egeria Yazılım ve Danışmanlık Hizmetleri;İzmir;ERP Satış Uzmanı;Hibrit;2024
Gürok;İstanbul;ERP Specialist / Senior Specialist;İş Yerinde;2023
Turkuaz Sağlık;İstanbul;ERP Uzmanı;Hibrit;2021
Astor Enerji A.Ş.;Ankara;Uzman ERP Sistem Mühendisi;İş Yerinde;2023
ONKA ELEKTRİK MALZEMELERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kocaeli;ERP Uzmanı;Hibrit;2024
Alarko Holding;İstanbul;ERP Uzmanı;Hibrit;2021
TCI Aircraft Interiors;İstanbul;ERP Developer;İş Yerinde;2024
Göknur Gıda Maddeleri Enerji İmalat İthalat İhr.;Ankara;ERP Uzmanı;Hibrit;2023
Bahçeşehir Üniversitesi | Wissen;İstanbul;Yetiştirilmek Üzere Web ve Mobil Uzmanı;İş Yerinde;2023
MERTOĞLU KENT MOBİLYALARI A.Ş.;Ankara;ERP Uzmanı;Uzaktan / Remote;2022
Damat-Tween;İstanbul;ERP Uzmanı;Hibrit;2024
ABDULKADİR ÖZCAN OTOMOTİV LASTİK SANVE TİC.A.Ş.;Ankara;ERP Uzmanı;Uzaktan / Remote;2023
Elit Çikolata ve Şekerleme San. A.Ş.;İstanbul;ERP Uzmanı;İş Yerinde;2023
Beta Kimya Sanayi ve Ticaret A.Ş.;Kocaeli;ERP Uzmanı;İş Yerinde;2023
Türkiye Noterler Birliği;Ankara;Test Uzmanı (Otomasyon);İş Yerinde;2021
Saat ve Saat Mağazacılık A.Ş.;İstanbul;Kıdemli ERP Sistem Uzmanı;İş Yerinde;2022
Kar Gıda İnşaat Spor Malzemeleri Giyim San. Tic. L;İstanbul;ERP Uzmanı;İş Yerinde;2022
Kıvanç Group;İstanbul;ERP Uzmanı;İş Yerinde;2024
BALMY TÜKETİM ÜRÜNLERİ SANAYİ ANONİM ŞİRKETİ;İstanbul;ERP Uzmanı;Hibrit;2024
BİLFEN ŞİRKETLER TOPLULUĞU;İstanbul;ERP Uzmanı;İş Yerinde;2022
Çukurova Kimya Endüstrisi A.Ş.;Manisa;ERP Uzmanı;İş Yerinde;2022
LİNKAS TEKNOLOJİ SANAYİ TİCARET A.Ş;Ankara;ERP Uzmanı;Hibrit;2021
FİBROSAN A.Ş.;İzmir;ERP ve Veri Analiz Uzmanı (Üretim);İş Yerinde;2022
Can Makina Elektrik A.Ş.;İstanbul;ERP Uzmanı;Hibrit;2023
Kahramanmaraş Kağıt San. Tic. A.Ş;Kahramanmaraş;ERP Uzmanı- Kahramanmaraş;Hibrit;2022
HARMİAD;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
BS Bizim Servis Personel Danışmanlık Hizmetleri A.Ş;İstanbul;Proje Yöneticisi/Tesis;İş Yerinde;2024
Asis;İstanbul;Senior International Project Manager;İş Yerinde;2023
FONRİ TEKNOLOJİ A.Ş;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
BAŞARSOFT BİLGİ TEKNOLOJİLERİ A.Ş.;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2022
BORUSAN ENBW ENERJİ YATIRIMLARI VE ÜRETİM A.Ş. - BORUSAN ENBW ENERJİ;İstanbul;Assistant Project Manager (EV Charging Station);Hibrit;2024
İnfo Yatırım Anonim Şirketi;İstanbul;Proje Yöneticisi / Yönetmeni;Hibrit;2023
Pozitera Perakende Geliştirme Hizmetleri Tic. A.Ş.;İstanbul;Proje Yöneticisi (Dayanıklı Tüketim Malları);İş Yerinde;2024
Sertrans Uluslararası Nakliyat ve Tic. A.Ş;İstanbul;E-Ticaret Proje Yöneticisi;Hibrit;2021
YEO Teknoloji Enerji ve Endüstri  A.Ş.;İstanbul;Proje Yöneticisi;Hibrit;2023
Bahçeşehir Okulları;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
Destek Bilgisayar ve İletişim Hizmetleri Ticaret A.Ş.;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Test Uzmanı;İş Yerinde;2023
LST Yazılım Elektronik ve İletişim Teknolojileri İnş. Turz. Tic. A.Ş.;Ankara;Analiz ve Test Uzmanı;İş Yerinde;2022
Gümüş Arslan Genel Makina San. Tic. Ltd. Şti.;Bursa;Proje Yöneticisi;İş Yerinde;2021
JOHNSON CONTROLS;İstanbul;Proje Yöneticisi (Avrupa Yakası);Hibrit;2022
AŞ HAN YEMEK GIDA VE TURİZM SAN. TİC. A.Ş.;Hatay;Toplu Yemek Üretimi Proje Yöneticisi (Hatay);Hibrit;2022
AŞ HAN YEMEK GIDA VE TURİZM SAN. TİC. A.Ş.;İstanbul;Toplu Yemek Üretimi Proje Yöneticisi (Catering);İş Yerinde;2024
MARTAŞ YEMEK VE GIDA SAN.TİC. A.Ş.;Bursa;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
MARTAŞ YEMEK VE GIDA SAN.TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
Mikrolink Bilişim San.Tic. A.Ş;Antalya;Proje Yöneticisi;İş Yerinde;2022
RST;Ankara;Proje Yöneticisi;Uzaktan / Remote;2021
FMS HİZMET YÖNETİMİ ANONİM ŞİRKETİ;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
ATABEY EĞİTİM KURUMLARI;İstanbul;Proje Yöneticisi / Yönetmeni;Hibrit;2024
N2mobil Takip Sistemleri A.Ş;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
Dünya Varlık Yönetim A.Ş.;İstanbul;Proje Yöneticisi;Hibrit;2021
SARDUNYA GIDA MUTFAK İŞLETMELERİ TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
SARDUNYA GIDA MUTFAK İŞLETMELERİ TİC. A.Ş.;Sakarya;Proje Yöneticisi / Yönetmeni (Sakarya);İş Yerinde;2022
SARDUNYA GIDA MUTFAK İŞLETMELERİ TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni (Levent);Hibrit;2021
Tohum Türkiye Otizm Erken Tanı ve Eğitim Vakfı;İstanbul;Proje Yöneticisi;Uzaktan / Remote;2021
İLETİŞİM BİLGİSAYAR YAZILIM SİSTEMLERİ İHRACAT İTHALAT SAN VE TİC.A.Ş;Bursa;Proje Yöneticisi;İş Yerinde;2023
Kahramanmaraş Kağıt San. Tic. A.Ş;Kütahya;ERP Uzmanı- Kütahya;İş Yerinde;2022
GARAJ GIDA PAZ. DAN. VE İNŞ. SAN. TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Ada Denizcilik ve Tersane İşletmeciliği Aş.;İstanbul;ERP Uzmanı;İş Yerinde;2023
Sektöründe Lider Firma;Denizli;Proje Yöneticisi/Denizli;İş Yerinde;2024
Tepe Servis A.Ş;İstanbul;Temizlik Hizmetleri Proje Yöneticisi;Uzaktan / Remote;2023
marmassistance;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2022
Altınbaş Petrol ve Ticaret A.Ş.-Alpet Türkiye;İstanbul;Proje Yöneticisi;Uzaktan / Remote;2021
ÖZEN İPLİK SAN. TİC. A.Ş;İstanbul;Proje Yöneticisi / Yönetmeni ( Key User );Uzaktan / Remote;2021
İHLAS HOLDİNG A.Ş.;İstanbul;BT Proje Yöneticisi;İş Yerinde;2021
Gizli Firma;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
Weltew Modüler Mobilya;Bursa;Ürün Ağacı ve Maliyetlendirme Uzmanı;Hibrit;2022
FİRMANET YAZILIM VE TEKNOLOJİ A.Ş.;Ankara;ERP Sistemi Analiz ve Test Uzmanı;İş Yerinde;2023
RENEVO ENERJİ TİCARET ANONİM ŞİRKETİ;İstanbul;Proje Yöneticisi / Yönetmeni;Hibrit;2023
Netpak Ambalaj Aş.;Ankara;Canias ERP Uzmanı;İş Yerinde;2022
ŞA-RA ENERJİ İNŞ.TİC.VE SAN.A.Ş.;İstanbul ;Proje Yöneticisi;İş Yerinde;2024
ORHUN YAZICI;Kocaeli;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
Protan Turkey Yalıtım Sanayi ve Ticaret A.Ş.;İstanbul;ERP Specialist;İş Yerinde;2024
Adöksan Döküm Sanayi Tic.Ltd.Şti.;İzmir;ERP Uzmanı;İş Yerinde;2023
Kluh Profesyonel Hiz. Tic. A.Ş;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;İstanbul;Proje Yöneticisi;Uzaktan / Remote;2021
TUDORS;Tekirdağ;Yapı İşleri ve Proje Yöneticisi;İş Yerinde;2021
Firma Bilgisi Gizli;Tekirdağ;Proje Yöneticisi / Yönetmeni;Hibrit;2021
Firma Bilgisi Gizli;Bursa;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
WeHire;Ankara;Proje Yöneticisi;İş Yerinde;2021
Sektörün Öncü Kuruluşu;Ankara;Proje Yöneticisi / Yönetmeni;Hibrit;2022
Unite Bilgi Teknolojileri;İstanbul;Application Support Specialist;Hibrit;2022
KOCAMANLAR ALÜMİNYUMİTHALAT İHRACAT SAN.VE TİC.A.Ş.;Erzurum;Proje Yöneticisi / Yönetmeni;Hibrit;2023
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İstanbul;ERP Uzmanı;İş Yerinde;2021
ETHIC HR Consulting;Sakarya;Maintenance and Project Executive;Hibrit;2024
ES KARİYER DANIŞMANLIK;İstanbul;Yazılım Test Mühendisi(Manuel Test/Test Otomasyon);Uzaktan / Remote;2022
ICterra Bilgi ve İletişim Teknolojileri San. ve Tic. A.Ş.;İstanbul;Test Mühendisi;İş Yerinde;2023
Koç Bilgi ve Savunma Teknolojileri;Ankara;Yazılım Test Mühendisi;Hibrit;2021
MİSYON YATIRIM BANKASI ANONİM ŞİRKETİ;İstanbul;Yazılım Test Mühendisi;Uzaktan / Remote;2022
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Yazılım Test Mühendisi;İş Yerinde;2024
CS TECH;Ankara;Sistem Test Mühendisi;İş Yerinde;2024
EnginSoft Turkey;İstanbul;Sistem Test Mühendisi;Hibrit;2023
Data Hidrolik Makina Sanayi A.Ş.;İstanbul;ERP Proje Yöneticisi;Uzaktan / Remote;2023
HİDROKONTROL MAK. SAN. TİC. A.Ş;Ankara;ERP Proje Mühendisi;İş Yerinde;2024
SÜPER FİLM AMBALAJ SAN. VE TİC. A.Ş.;Gaziantep;Sistem Test Mühendisi;İş Yerinde;2024
ÜSTÜNOVA MÜHENDİSLİK VE ARAŞTIRMA GELİŞTİRME ANONİM ŞİRKETİ;İstanbul;Sistem / Donanım Test Mühendisi;İş Yerinde;2023
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;SAP Modül Uzmanı;Hibrit;2021
Diler;İstanbul;SAP PM Danışmanı;İş Yerinde;2023
NTT DATA BUSINESS SOLUTIONS;İstanbul;Kıdemli SAP QM Modül Danışmanı;Hibrit;2021
NTT DATA BUSINESS SOLUTIONS;İstanbul;SAP Modül Uzmanı (Fı/Co);İş Yerinde;2024
Taha Giyim San. Ve Tic. A.Ş.;İstanbul;SAP Modül Sorumlusu;İş Yerinde;2021
Aygaz;İstanbul;SAP Modül Uzmanı;Uzaktan / Remote;2024
Titan2 İc İçtaş İnşaat A.Ş;Mersin;İş Zekası ve Otomasyon Uzman Yardımcısı;Uzaktan / Remote;2021
Bulutistan;İstanbul;Business Intelligence Analyst;Hibrit;2021
Gram Equipment Makina San. Tic. Ltd. Şti - Ege Serbest Bölgesi Şubesi;İzmir;Business Intelligence Specialist (Etl);İş Yerinde;2024
Kariyer.net;İstanbul;İş Zekası ve Raporlama Uzmanı;İş Yerinde;2023
Logo Yazılım San Ve Tic A.Ş.;İstanbul;İş Zekası Uzmanı;İş Yerinde;2024
Memorial Sağlık Grubu;İstanbul;Raporlama ve İş Zekası Uzmanı;İş Yerinde;2023
Işıklar Holding A.Ş.;İstanbul;İş Zekası ve Raporlama Uzmanı;İş Yerinde;2021
Dirk Rossmann Mağazacılık;İstanbul;İş Zekası Uzmanı;İş Yerinde;2022
Koru Sigorta A.Ş.;İzmir;İş Zekası Uzmanı(Power Bı);İş Yerinde;2021
ALTAY TAŞIT ve OTOMOTİV YEDEK PARÇA SAN. TİC. A.Ş.;İstanbul;İş Zekası ve Raporlama Uzmanı;İş Yerinde;2022
Momentum A.Ş.;Bursa;IT Demand Management & Business Solutions Chief;İş Yerinde;2024
Prysmian Kablo ve Sistemleri A.Ş.;Antalya;İş Zekası Raporlama Uzmanı;Hibrit;2024
ODEON TURİZM İŞLETMECİLİĞİ ANONİM ŞİRKETİ - ODEON TOURS;İstanbul;SAP Lojistik & Finansal Modül Danışmanları;İş Yerinde;2024
NTT Data Business Solutions;İstanbul;İş Zekası Uzmanı/Kıdemli Uzmanı;Hibrit;2023
Sektöründe Öncü Firma;İstanbul;İş Zekası Uzmanı;Uzaktan / Remote;2023
Unico Sigorta A.Ş.;İstanbul;İş Zekası ve Raporlama Uzmanı;İş Yerinde;2023
FETİH TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İzmir;İş Zekası Uzmanı / Kıdemli İş Zekası Uzmanı;Hibrit;2022
ARKAS HOLDİNG A.Ş.;İstanbul;İş Zekası Kıdemli Uzmanı;İş Yerinde;2021
Aksigorta;İstanbul;Agile Coach;İş Yerinde;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Tedarik Zinciri ve Ürün Yönetimi Mühendisi;İş Yerinde;2023
BRAYTRON ELEKTRİK SANAYİ TİCARET LİMİTED ŞİRKETİ;İstanbul;Ürün Yöneticisi / Yönetmeni;İş Yerinde;2023
OXXO;İstanbul;Ürün Yöneticisi;İş Yerinde;2022
Fotec Enerji Teknolojileri A.Ş;İstanbul;Ürün Yöneticisi / Yönetmeni (Altın Ürün Grubu);Hibrit;2022
Atasay Kuyumculuk;İstanbul;Ürün Yöneticisi / Uzman;İş Yerinde;2023
ETB ELEKTRONİK TEKNOLOJİ VE BİLİŞİM HİZMETLERİ SAN;İstanbul;Ürün Yöneticisi;İş Yerinde;2023
Sektöründe Öncü Firma;İstanbul;Ürün Yöneticisi;İş Yerinde;2021
PORT İÇ VE DIŞ TİCARET A.Ş.;Ankara;Ürün Yöneticisi;Hibrit;2022
YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.;İstanbul;İnci Ürün Yöneticisi;İş Yerinde;2023
FLO Mağazacılık;İstanbul;Lotto / Reebok Ürün Yöneticisi;Hibrit;2023
FLO Mağazacılık;İstanbul;Giyim Ürün Yöneticisi;İş Yerinde;2021
SIEMENS HEALTHCARE SAĞLIK ANONİM ŞİRKETİ;İstanbul;Product Manager;Hibrit;2023
Gizli Firma;İstanbul;Insurance Product Manager / Jr. Manager;İş Yerinde;2022
HAVANSOFT BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Ürün Yöneticisi (Platform Düzenleyicisi);Hibrit;2022
Kaleseramik Çanakkale Kalebodur Seramik Sanayi .A.Ş.;İstanbul;Mobilya Ürün Yöneticisi;İş Yerinde;2021
MBT Teknik Yapı Kimyasalları San. ve Tic. A.Ş.;İstanbul;Ürün Yöneticisi;Hibrit;2024
ATAK TAŞIT YEDEKLERİSANAYİ VE TİCARET A.Ş.;İstanbul;Ürün Yöneticisi–Junıor Product Manager;Uzaktan / Remote;2023
Rays Giyim;İstanbul;Ürün Yöneticisi / Yönetmeni;Uzaktan / Remote;2021
KALEKİM KİMYEVİ MADDELER SAN. VE TİC. A.Ş.;İstanbul;Ürün Yöneticisi-Yapı Kimyasalları;İş Yerinde;2023
TETRAPORT TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;ERP Danışmanı;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Test Uzmanı;İş Yerinde;2024
Turpak Elektromanyetik Yakıt İkmal Sis.Tic.A.Ş.;İstanbul;ERP Danışmanı – SAP B1;Hibrit;2024
IFS TÜRKİYE;Tekirdağ ;ERP Danışmanı;Hibrit;2021
SİSTEM ALÜMİNYUM SANAYİ VE TİC.A.Ş.;Tekirdağ;Kıdemli SAP PP Danışmanı;İş Yerinde;2023
SİSTEM ALÜMİNYUM SANAYİ VE TİC.A.Ş.;İstanbul;Kıdemli SAP MM / EWM Danışmanı;İş Yerinde;2021
Kariyer.net;İstanbul;Veritabanı Yöneticisi;Hibrit;2023
ERA Consulting Services;İstanbul;ERP Consultants;İş Yerinde;2023
Ainos Bilgi Teknolojileri ve Danışmanlık A.Ş.;İstanbul ;ERP Danışmanı;İş Yerinde;2023
ENTERERP YAZILIM TİCARET LİMİTED ŞİRKETİ;İzmir;ERP Danışmanı;İş Yerinde;2022
Industrial Application Software;İstanbul;ERP Danışmanı;İş Yerinde;2024
Gizli Firma;Ankara;Canias Danışmanı;İş Yerinde;2022
Türkiye Yeşilay Cemiyeti;Bursa;International Projects and Programs Specialist;İş Yerinde;2024
ERSA Mobilya San. ve Tic. A.Ş.;İstanbul;Proje ve Sunum Uzmanı;Hibrit;2023
KÜÇÜKOĞLU HOLDİNG ANONİM ŞİRKETİ;İstanbul;Proje Uzmanı;Hibrit;2023
Gizli Firma;İstanbul;Project Specialist;İş Yerinde;2023
Acıbadem Mehmet Ali Aydınlar Üniversitesi;Muğla;Araştırma Destek Fonları Uzmanı;İş Yerinde;2024
Honest Travel Group;İstanbul ;Mice Proje Uzmanı;İş Yerinde;2022
Gizli Firma;Ankara;Proje Uzmanı;Uzaktan / Remote;2022
SECURİTAS TEKNOLOJİ HİZMETLERİ TİCARET ANONİM ŞİRKETİ;Lefkoşa;Proje Uzmanı;İş Yerinde;2021
The National Nanotechnology Research Center (UNAM);Ankara;Proje Finans Uzmanı;İş Yerinde;2023
TÜRK BANKASI LTD;İstanbul;Proje Yönetimi Bölümü Uzman/Uzman Yardımcısı;Hibrit;2023
Yıldızlar SSS Holding A.Ş.;İstanbul;İşletme Projeleri Uzmanı;İş Yerinde;2024
SANTA FARMA İLAÇ SAN.A.Ş.;İstanbul;Yatırımlar ve Proje Uzmanı;Uzaktan / Remote;2022
İstanbul İhracatçı Birlikleri Genel Sekreterliği;Kütahya;Ur-Ge Proje Uzmanı;İş Yerinde;2023
ULUSLARARASI GÖÇ ÖRGÜTÜ;İstanbul;Senior Project Associate (German Speaker)-Re-Adv.;İş Yerinde;2024
MARTUR SÜNGER VE KOLTUK TESİSLERİ TİCARET VE SANAYİ A.Ş.;İstanbul;Project Specialist;Uzaktan / Remote;2021
TURKISHBANK A.Ş;İstanbul;Proje Uzmanı;İş Yerinde;2023
T. C. Piri Reis Üniversitesi;Kütahya;Proje Uzmanı;İş Yerinde;2023
Intertek Test Hizmetleri A.Ş.;İzmir;Gıda Satış Destek Sorumlu Yardımcısı;İş Yerinde;2023
Kros Otomotiv San. Tic. A.Ş;İstanbul;Proje İletişim Uzmanı;İş Yerinde;2022
EDE TANITIM VE HALKLA İLİŞKİLER LTD.ŞTİ. (Özel);İstanbul;İş Geliştirme Uzman Yardımcısı;İş Yerinde;2024
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Proje Destek Uzmanı (Hr);Hibrit;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Proje Uzmanı;İş Yerinde;2024
Koç Üniversitesi;İstanbul;Cleanroom Senior Specialist;İş Yerinde;2022
Koç Üniversitesi;İstanbul;Global Education Programs and Projects Assistant;İş Yerinde;2023
Trio Mobil Bilişim Sistemleri A.Ş.;İstanbul;Türkiye İş Ortakları Kanal Satış Uzman Yardımcısı;İş Yerinde;2024
YENİ KOZA TEKSTİL A.Ş.;İstanbul;İş Geliştirme Uzman Yardımcısı;İş Yerinde;2022
Köksal Proje Danışmanlık Mühendislik A.Ş.;İstanbul;Tübitak / Kosgeb Proje Uzmanı;İş Yerinde;2022
PERKOTEK TEKNOLOJİ DIŞ TİCARET ANONİM ŞİRKETİ;Ankara;Yazılım Destek Uzmanı;Hibrit;2024
İdea Teknoloji Çözümleri Bilgisayar Sanayi Tic.A.Ş.;İstanbul;CRM Yazılım Destek Uzmanı;İş Yerinde;2023
CODEIDENT Bilgi Teknolojileri;Bursa;Yazılım Destek Uzmanı;İş Yerinde;2022
Roche Diagnostics Turkey A.Ş.;Ankara;Laboratuvar Yazılım Çözüm Uzmanı (Engelli Kadro);Hibrit;2024
Memorial Sağlık Grubu;İstanbul;Medikal IT Uzmanı;Hibrit;2022
Ark He Yazılım Teknolojileri ve Turizm Danışmanlı;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2024
Gizli Firma;Gaziantep;Yazılım Destek Uzmanı / Hbys- Gaziantep;İş Yerinde;2024
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2022
Minerva Yazılım;İstanbul;Sistem Geliştirme Uzmanı;İş Yerinde;2022
DeFacto Perakende Ticaret Anonim Şirketi;İstanbul;Ürün Yönetimi Sistem Geliştirme Uzman Jr;İş Yerinde;2023
Mtclinen tekstil;Denizli;Yazılım Destek Uzmanı;İş Yerinde;2021
Proliz Yazılım;Ankara;Yazılım Destek Uzmanı;Hibrit;2024
TEKPROSİS BİLGİSAYAR YAZILIM DANIŞMANLIK VE EĞİTİM HİZMETLERİ İÇ VE DIŞ TİCARET LİMİT;İstanbul;Yazılım Destek Uzmanı;Hibrit;2023
NTT Data Business Solutions;İstanbul;CX Ams Support Consultant;İş Yerinde;2021
CLEAN TEMİZLİK VE DANIŞMANLIK HİZMETLERİ A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2024
EVOSET Bilgisayar Teknolojileri ve Yazılım Hizmetleri LTD. ŞTİ.;İzmir;Yazılım Destek Uzmanı;İş Yerinde;2024
Industrial Application Software;İstanbul;Software Support Specialist;İş Yerinde;2023
Sektöründe Lider Firma;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2021
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2024
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;Ankara;Sistem Geliştirme ve Raporlama Uzmanı;İş Yerinde;2022
Gizli Firma;Ankara;Yazılım Destek Sorumlusu;İş Yerinde;2023
MEYER  GROUP;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2023
Diem Mühendislik Mimarlık A.Ş.;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2024
Aps Giyim;Amasya;İş Geliştirme Uzmanı;İş Yerinde;2022
OTOMOL;İstanbul;İş Geliştirme ve İhracat Uzmanı;İş Yerinde;2022
TEKNOKAR SAVUNMA VE HAVACILIK A.Ş.;Ankara;İş Geliştirme & Bütçe Raporlama Uzmanı;İş Yerinde;2021
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.;İzmir;İş Geliştirme Uzmanı;İş Yerinde;2023
E Peak İç ve Dış Tic. Ltd. Şti.;İstanbul;İş Geliştirme Uzmanı;Hibrit;2023
VELAVİT VİTAMİN PAZARLAMA SAN. VE TİC. A.Ş.;İstanbul;Business Development Specialist;İş Yerinde;2024
SMS INFOCOMM TEKNOLOJİ SERVIS  LTD. ŞTİ.;İstanbul;İş Geliştirme ve Satış Yöneticisi;İş Yerinde;2023
eTA;İstanbul;İş Geliştirme Uzmanı;Uzaktan / Remote;2021
KAYTEN TEKNOLOJİ ÜRÜNLERİ SAN.VE DIS TİC.LTD STİ;Ankara;Tedarik ve Satın Alma Uzmanı;Uzaktan / Remote;2022
Mene Research A. Ş.;Kocaeli;İş Geliştirme ve Satış Uzmanı;İş Yerinde;2024
BAŞARSOFT BİLGİ TEKNOLOJİLERİ A.Ş.;İstanbul;Süreç ve İş Geliştirme Kıdemli Uzmanı;Hibrit;2023
BİRTEP;İstanbul;İş Geliştirme Uzmanı;Hibrit;2022
AKIN GLOBAL İÇ VE DIŞ TİCARET SANAYİ LTD ŞTİ;Ankara;Kıdemli İş Geliştirme ve Kiralama Uzmanı;İş Yerinde;2021
Adil Işık Group;İstanbul;Business Development Specialist;Hibrit;2021
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İstanbul;Toptan Satış İş Geliştirme Uzmanı;İş Yerinde;2024
FLO Mağazacılık;İstanbul;İş Geliştirme Uzmanı;Uzaktan / Remote;2022
FLO Mağazacılık;İstanbul;İş Geliştirme Uzmanı;Hibrit;2023
İstanbul Okan Üniversitesi Hastanesi;İstanbul;Romanya Bölgesi İş Geliştirme Uzmanı;İş Yerinde;2023
İstanbul Okan Üniversitesi Hastanesi;İstanbul;Balkan Bölgesi İş Geliştirme Uzmanı;İş Yerinde;2022
İstanbul Okan Üniversitesi Hastanesi;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2021
Gizli Firma;İstanbul;İş Geliştirme Uzmanı/ Uzman Yardımcısı;Uzaktan / Remote;2024
İstanbul Eczacılar Kooperatifi;İstanbul;Çağrı Merkezi İş Geliştirme Kıdemli Uzmanı;Uzaktan / Remote;2022
EUREKO SİGORTA A.Ş;İstanbul;İhracat İş Geliştirme Uzmanı;İş Yerinde;2022
Silverline;İstanbul;İhale ve İş Geliştirme Uzmanı;İş Yerinde;2024
Sektöründe Öncü Firma;Ankara;İş Geliştirme Uzmanı;İş Yerinde;2022
ERK HOLDİNG ANONİM ŞİRKETİ;İzmir;İş Geliştirme ve Onboarding Uzmanı;İş Yerinde;2023
Procat Danışmanlık Yazılım Telekomünikasyon Pazarlama Ticaret A.Ş.;İzmir;Mülk ve Emlak Geliştirme Uzmanı;İş Yerinde;2021
Sinoma;Ankara;Business Development and Marketing Specialist;İş Yerinde;2021
